us-ca	tanf-s15	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/6/42-701	42-701 INTRODUCTION TO WELFARE-TO-WORK	42-701 INTRODUCTION TO WELFARE-TO-WORK
us-ca	tanf-s16	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/7/42-742	42-742 CONTRACTS/AGREEMENTS FOR ON-THE-JOB TRAINING (OJT), SUPPORTED WORK, AND T	42-742 CONTRACTS/AGREEMENTS FOR ON-THE-JOB TRAINING (OJT), SUPPORTED WORK, AND TRANSITIONAL EMPLOYMENT FUNDED BY GRANT DI
us-ca	tanf-s17	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/8/42-769	42-769 APPLICATION OF BONUSES AND SANCTIONS	42-769 APPLICATION OF BONUSES AND SANCTIONS
us-ca	tanf-s19	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/9/42-804	42-804 DEVELOPMENT OF A WELFARE-TO-WORK PLAN FOR	42-804 DEVELOPMENT OF A WELFARE-TO-WORK PLAN FOR
us-ca	tanf-s20	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/8/42-762	42-762 INTRODUCTION TO THE CAL-LEARN PROGRAM	Social science research has established a strong connection between teenage parenting and longterm welfare dependency. Health research also indicates a
us-ca	tanf-s21	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/1/40-032	40-032 IMPLEMENTATION OF DEPRIVATION AND DIVERSION ASSISTANCE	40-032 IMPLEMENTATION OF DEPRIVATION AND DIVERSION ASSISTANCE
us-ca	tanf-s22	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/1/40-039	40-039 IMPLEMENTATION OF ANNUAL REPORTING CHILD ONLY	40-039 IMPLEMENTATION OF ANNUAL REPORTING CHILD ONLY
us-ca	tanf-s23	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/3/40-181	40-181 CONTINUING ACTIVITIES AND DETERMINATION OF ELIGIBILITY	ker relative living in the home, unless an individual so specified is temporarily absent from the home (see Section 82-812); and (f) The redetermination inte
us-ca	tanf-s24	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/5/42-431	42-431 ELIGIBILITY REQUIREMENTS	05.21. .6 Determination of Eligibility for Benefits and Services for Victims of Domestic Violence or Other Serious Crimes .61 State-funded services for noncitizen vic
us-ca	tanf-s25	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/2/40-115	40-115 THE APPLICATION PROCESS	40-115 THE APPLICATION PROCESS
us-ca	tanf-s26	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/4/41-609	41-609 DISCONTINUANCE AND NOTICE OF ACTION REQUIREMENTS	41-609 DISCONTINUANCE AND NOTICE OF ACTION REQUIREMENTS
us-ca	tanf-s27	us-ca/regulation/2026-09-10-tanf-state-policy-manual	us-ca/regulation/mpp/eas/7/42-751	42-751 UNDERPAYMENTS AND OVERPAYMENTS FOR TRANSPORTATION, ANCILLARY, AND DIAPER 	42-751 UNDERPAYMENTS AND OVERPAYMENTS FOR TRANSPORTATION, ANCILLARY, AND DIAPER SUPPORT SE
